Provincia,densidad,mujeres,extranjeros,edadmedia,pensionistas,pension,base_cotizacion,autonomos,tasa_paro,tasa_paro_juvenil,esperanza_vida,imv,agricultura,industria,construccion,servicios,pib,n_hipotecas,importe_hipotecas,n_sociedades,capital_sociedades,ipc,alquiler_vivienda,compra_vivienda,estudios_superiores,lengua_cooficial,govern_dip_esq,izquierda,PP,PSOE,VOX,SUMAR
Albacete,"25,85","49,97","7,14","44,04","18,11","1.142,50","1.869,10","4,37","9,24","0,94","83,22","4,98","8,90","12,80","4,80","68,8","20.256,30","12,65","93.064,77","14,52","34.662,50","9,36","6,90","1.386,00","25,00","0,00","1,00","41,66","39,92","34,51","16,61","7,16"
Alicante/Alacant,"326,90","50,50","20,44","44,27","15,98","1.147,24","1.785,50","4,34","11,46","0,82","82,28","4,85","2,20","13,10","8,00","71,00","17.886,85","13,76","107.900,99","27,05","38.419,21","8,69","9,70","1.930,00","24,00","1,00","0,00","44,88","36,73","32,00","16,25","12,88"
Almería,"84,39","48,95","21,89","40,86","13,76","1.084,46","1.783,60","5,83","19,83","1,25","80,65","7,54","18,50","8,20","3,80","63,00","19.699,79","16,56","95.847,22","18,64","32.318,12","8,09","7,20","1.274,00","22,90","0,00","0,00","35,73","40,94","29,04","21,28","6,69"
Araba/Álava,"110,11","50,78","9,87","45,14","22,20","1.658,34","2.546,40","3,12","9,15","0,93","84,32","4,20","1,50","26,30","4,40","63,60","35.089,67","14,43","158.285,60","12,38","52.859,90","8,09","11,00","2.608,00","40,70","1,00","2,00","59,92","17,87","27,66","3,89","12,75"
Asturias,"94,75","52,31","4,54","49,07","26,97","1.551,65","2.082,90","4,38","13,09","0,90","82,74","4,35","2,20","14,50","5,80","69,50","21.171,77","11,66","116.350,94","11,43","24.790,94","8,41","8,30","1.646,00","33,00","0,00","1,00","49,19","35,65","34,34","12,49","14,85"
Ávila,"19,64","49,76","6,63","47,99","23,11","1.120,88","1.800,90","5,88","10,95","0,83","83,53","4,97","9,50","9,90","6,50","68,60","19.542,35","9,43","102.861,93","8,22","16.730,77","10,33","5,90","1.106,00","26,00","0,00","0,00","32,52","43,25","27,39","15,38","5,13"
Badajoz,"30,64","50,60","3,19","44,21","19,57","1.069,13","1.741,60","5,11","18,98","1,35","81,87","7,43","9,70","9,80","5,00","66,20","17.497,12","10,21","104.115,51","11,66","53.642,67","9,23","6,20","1.210,00","25,10","0,00","1,00","46,05","37,82","39,21","13,66","6,84"
"Balears, Illes","235,71","50,22","18,87","42,27","15,50","1.255,69","2.090,10","5,05","5,72","0,43","83,36","2,09","0,60","5,30","8,20","83,10","22.254,88","13,23","262.737,46","32,42","36.927,65","8,12","16,10","3.805,00","27,60","1,00","0,00","46,75","35,63","30,16","15,21","16,59"
Barcelona,"741,15","51,17","15,48","43,35","20,44","1.458,19","2.325,50","4,18","8,35","0,48","83,48","2,15","0,40","15,70","5,30","74,40","27.899,92","12,73","214.326,94","26,85","36.565,19","7,61","17,50","3.058,00","36,30","1,00","2,00","63,24","13,78","35,70","7,56","15,22"
Bizkaia,"518,42","51,71","7,85","46,62","23,60","1.645,97","2.494,90","3,54","7,87","0,89","83,68","2,78","0,20","15,00","5,10","75,60","28.617,06","13,57","193.636,81","14,61","48.259,68","8,25","12,60","2.952,00","41,30","1,00","2,00","57,39","11,57","25,82","2,64","10,92"
