Density,Veterans,Women,HighSchool_Grad,University_Grad,Blacks,Asians,Hispanics,White,Evangelicals,Protestants,Relig_afro,Catholics,Mormons,Retired,Unemployment,Salary,Voters
94.4,8.1,51.5,82.6,22.3,26.2,1.1,3.9,67.0,49.0,1.0,18.0,6.0,1.0,13.8,8.0,43464.0,38.36
1.2,10.1,48.0,91.6,27.5,3.3,5.4,5.5,64.1,26.0,19.0,2.0,14.0,4.0,7.7,7.6,63648.0,40.81
56.3,8.2,50.3,85.4,26.6,4.1,2.8,29.6,57.8,23.0,15.0,2.0,25.0,4.0,13.8,8.4,47044.0,44.59
56.0,7.9,50.9,83.3,19.8,15.4,1.2,6.4,74.5,53.0,16.0,10.0,5.0,0.0,14.4,7.6,39018.0,36.88
239.1,5.0,50.3,81.0,30.5,6.2,13.0,37.6,40.1,18.0,14.0,4.0,31.0,2.0,11.4,10.4,57020.0,60.24
48.5,8.1,49.9,89.9,36.7,4.0,2.8,20.7,70.0,23.0,19.0,2.0,19.0,2.0,10.9,7.8,57255.0,51.49
738.1,6.0,51.3,89.0,36.2,10.1,3.8,13.4,71.2,9.0,13.0,4.0,43.0,1.0,14.2,8.3,64247.0,58.06
460.8,8.5,51.6,87.7,28.5,21.4,3.2,8.2,65.3,15.0,18.0,14.0,27.0,0.0,14.4,7.2,48972.0,58.61
9856.5,5.2,52.8,87.5,51.2,50.7,3.5,9.1,34.8,15.0,20.0,18.0,18.0,0.0,11.4,9.0,65246.0,90.91
350.6,8.3,51.1,85.8,26.2,16.0,2.4,22.5,57.9,25.0,15.0,8.0,26.0,0.0,17.3,8.5,46071.0,50.01
168.4,7.2,51.2,84.4,27.8,30.5,3.2,8.8,55.9,38.0,16.0,16.0,12.0,1.0,10.7,9.2,48121.0,45.48
211.8,8.6,49.9,90.3,29.6,1.6,38.6,8.9,22.7,26.0,18.0,0.0,22.0,5.0,14.3,6.0,56263.0,70.55
19.0,7.9,49.9,88.6,24.7,0.6,1.2,11.2,84.0,22.0,16.0,0.0,18.0,23.0,12.4,7.2,47922.0,32.62
231.1,5.7,51.0,87.0,31.1,14.5,4.6,15.8,63.7,19.0,17.0,9.0,32.0,0.0,12.5,9.0,51738.0,57.6
181.0,7.0,50.8,87.0,23.0,9.1,1.6,2.0,81.5,34.0,22.0,6.0,18.0,1.0,13.0,8.3,46158.0,43.93
54.5,7.5,50.5,90.7,25.3,2.9,1.7,1.8,88.7,24.0,30.0,1.0,25.0,1.0,14.9,5.0,53442.0,51.99
34.9,7.5,50.4,89.7,30.0,5.9,2.4,3.0,78.2,29.0,27.0,3.0,23.0,1.0,13.2,5.8,50003.0,37.99
109.9,7.3,50.8,82.4,21.0,7.8,1.1,1.7,86.3,49.0,17.0,5.0,14.0,0.0,13.3,8.2,41086.0,37.8
104.9,6.8,51.0,82.2,21.4,32.0,1.5,1.6,60.3,31.0,9.0,20.0,28.0,0.0,12.3,7.1,39085.0,40.58
43.1,9.3,51.1,90.6,27.3,1.2,1.0,1.0,94.4,15.0,26.0,0.0,29.0,1.0,15.9,7.5,49158.0,56.27
594.8,7.6,51.6,88.5,36.3,29.4,5.5,8.2,54.7,15.0,22.0,17.0,19.0,0.0,12.3,7.0,71836.0,61.97
839.4,5.8,51.6,89.1,39.0,6.6,5.3,9.6,76.1,11.0,15.0,2.0,43.0,0.0,13.8,6.7,63656.0,60.65
174.8,6.7,50.9,88.7,25.5,14.2,2.4,4.4,76.6,26.0,19.0,8.0,23.0,1.0,13.8,9.1,50015.0,54.21
66.6,6.9,50.4,91.9,32.2,5.2,4.0,4.7,83.1,21.0,32.0,1.0,28.0,0.0,12.9,5.6,61795.0,52.65
63.2,6.8,51.4,81.0,20.0,37.0,0.9,2.7,58.0,47.0,11.0,23.0,9.0,1.0,12.8,9.0,36641.0,43.79
87.1,8.0,51.0,87.2,25.8,11.6,1.6,3.5,81.0,37.0,18.0,6.0,18.0,1.0,14.0,7.0,49764.0,44.38
6.8,10.0,49.8,91.9,28.5,0.4,0.6,2.9,87.8,23.0,24.0,0.0,23.0,4.0,14.8,6.0,45088.0,41.7
23.8,7.9,50.4,90.4,28.1,4.5,1.8,9.2,82.1,21.0,27.0,3.0,31.0,0.0,13.5,4.0,52196.0,38.03
24.6,8.5,49.5,84.4,22.2,8.1,7.2,26.5,54.1,13.0,11.0,2.0,27.0,11.0,12.0,11.2,47333.0,52.36
147.0,8.4,50.7,91.4,33.4,1.1,2.2,2.8,92.3,14.0,19.0,0.0,29.0,1.0,13.5,5.5,67819.0,51.98
1195.5,4.9,51.3,87.9,35.4,13.7,0.3,17.7,59.3,12.0,13.0,5.0,42.0,0.0,13.5,9.3,66692.0,58.38
17.0,8.7,50.6,83.4,25.6,2.1,1.4,46.3,40.5,25.0,15.0,2.0,26.0,2.0,13.2,7.1,43424.0,52.99
411.2,4.6,51.6,84.9,32.8,15.9,7.3,17.6,58.3,11.0,16.0,5.0,39.0,0.0,13.5,8.5,47680.0,63.35
196.1,7.6,51.3,84.5,26.8,21.5,2.2,8.4,65.3,41.0,21.0,13.0,9.0,0.0,12.9,9.2,41553.0,48.35
9.7,8.4,49.5,90.5,27.1,1.2,1.0,2.0,88.9,24.0,35.0,0.0,25.0,1.0,14.5,3.1,55766.0,38.69
282.3,7.4,51.2,88.2,24.7,12.2,1.7,3.1,81.8,26.0,22.0,7.0,21.0,0.0,14.1,7.4,44375.0,50.67
54.7,8.5,50.5,86.2,23.2,7.4,1.7,8.9,68.7,3.0,16.0,3.0,12.0,0.0,13.5,5.3,48407.0,33.23
